markets,date,total arrivals,year on year (yoy) growths (%)
Mainland China,2016-10-01,3723837.0,-3.5
Mainland China,2016-11-01,3388958.0,-3.5
Mainland China,2016-12-01,3948482.0,6.1
Mainland China,2017-01-01,4353505.0,7.7
Mainland China,2017-02-01,3138728.0,-6.8
Mainland China,2017-03-01,3330769.0,10.4
Mainland China,2017-04-01,3521932.0,1.8
Mainland China,2017-05-01,3450028.0,3.8
Mainland China,2017-06-01,3097716.0,-3.4
Mainland China,2017-07-01,4077183.0,3.7
Mainland China,2017-08-01,3955989.0,-2.0
Mainland China,2017-09-01,3572769.0,7.2
Mainland China,2017-10-01,4033473.0,8.3
Mainland China,2017-11-01,3680755.0,8.6
Mainland China,2017-12-01,4232412.0,7.2
Mainland China,2018-01-01,4113241.0,-5.5
Mainland China,2018-02-01,4399696.0,40.2
Mainland China,2018-03-01,3668375.0,10.1
Mainland China,2018-04-01,4056097.0,15.2
Mainland China,2018-05-01,3817370.0,10.6
Mainland China,2018-06-01,3634089.0,17.3
Mainland China,2018-07-01,4402955.0,8.0
Mainland China,2018-08-01,4825547.0,22.0
Mainland China,2018-09-01,3713464.0,3.9
Mainland China,2018-10-01,4654391.0,15.4
Mainland China,2018-11-01,4631378.0,25.8
Mainland China,2018-12-01,5121627.0,21.0
Mainland China,2019-01-01,5542896.0,34.8
Mainland China,2019-02-01,4560963.0,3.7
Mainland China,2019-03-01,4478389.0,22.1
Mainland China,2019-04-01,4272755.0,5.3
Mainland China,2019-05-01,4717520.0,23.6
Mainland China,2019-06-01,4000994.0,10.1
Mainland China,2019-07-01,4160688.0,-5.5
Mainland China,2019-08-01,2782897.0,-42.3
Mainland China,2019-09-01,2412459.0,-35.0
Mainland China,2019-10-01,2519243.0,-45.9
Taiwan,2016-10-01,161813.0,-7.6
Taiwan,2016-11-01,153844.0,-4.3
Taiwan,2016-12-01,181149.0,0.7
Taiwan,2017-01-01,164020.0,-5.9
Taiwan,2017-02-01,165183.0,2.9
Taiwan,2017-03-01,160589.0,7.6
Taiwan,2017-04-01,166892.0,-5.2
Taiwan,2017-05-01,166827.0,10.8
Taiwan,2017-06-01,163588.0,-7.1
Taiwan,2017-07-01,180352.0,-2.5
Taiwan,2017-08-01,177920.0,2.1
Taiwan,2017-09-01,157363.0,-6.5
Taiwan,2017-10-01,174188.0,7.6
Taiwan,2017-11-01,159009.0,3.4
Taiwan,2017-12-01,174824.0,-3.5
Taiwan,2018-01-01,156300.0,-4.7
Taiwan,2018-02-01,146308.0,-11.4
Taiwan,2018-03-01,157997.0,-1.6
Taiwan,2018-04-01,172597.0,3.4
Taiwan,2018-05-01,151060.0,-9.5
Taiwan,2018-06-01,164497.0,0.6
Taiwan,2018-07-01,172884.0,-4.1
Taiwan,2018-08-01,167791.0,-5.7
Taiwan,2018-09-01,150747.0,-4.2
Taiwan,2018-10-01,155625.0,-10.7
Taiwan,2018-11-01,151502.0,-4.7
Taiwan,2018-12-01,177926.0,1.8
Taiwan,2019-01-01,159680.0,2.2
Taiwan,2019-02-01,148116.0,1.2
Taiwan,2019-03-01,157101.0,-0.6
Taiwan,2019-04-01,157816.0,-8.6
Taiwan,2019-05-01,145912.0,-3.4
Taiwan,2019-06-01,155363.0,-5.6
Taiwan,2019-07-01,152560.0,-11.8
Taiwan,2019-08-01,107702.0,-35.8
Taiwan,2019-09-01,94497.0,-37.3
Taiwan,2019-10-01,98734.0,-36.6
Japan,2016-10-01,86409.0,0.5
Japan,2016-11-01,111487.0,14.5
Japan,2016-12-01,111163.0,10.3
Japan,2017-01-01,86100.0,-5.7
Japan,2017-02-01,102590.0,44.3
Japan,2017-03-01,131082.0,28.5
Japan,2017-04-01,78433.0,0.2
Japan,2017-05-01,97850.0,18.7
Japan,2017-06-01,86867.0,16.8
Japan,2017-07-01,85733.0,6.4
Japan,2017-08-01,121018.0,18.8
Japan,2017-09-01,117878.0,16.4
Japan,2017-10-01,93902.0,8.7
Japan,2017-11-01,118985.0,6.7
Japan,2017-12-01,109572.0,-1.4
Japan,2018-01-01,105771.0,22.8
Japan,2018-02-01,76165.0,-25.8
Japan,2018-03-01,144709.0,10.4
Japan,2018-04-01,90170.0,15.0
Japan,2018-05-01,105494.0,7.8
Japan,2018-06-01,93742.0,7.9
Japan,2018-07-01,87439.0,2.0
Japan,2018-08-01,119194.0,-1.5
Japan,2018-09-01,106482.0,-9.7
Japan,2018-10-01,103692.0,10.4
Japan,2018-11-01,128720.0,8.2
Japan,2018-12-01,126195.0,15.2
Japan,2019-01-01,112565.0,6.4
Japan,2019-02-01,92186.0,21.0
Japan,2019-03-01,154586.0,6.8
Japan,2019-04-01,105400.0,16.9
Japan,2019-05-01,115504.0,9.5
Japan,2019-06-01,94264.0,0.6
Japan,2019-07-01,89908.0,2.8
