market regions,date,total arrivals,year on year (yoy) growths (%)
Mainland China,2016-10-01,3723837.0,-3.5
Mainland China,2016-11-01,3388958.0,-3.5
Mainland China,2016-12-01,3948482.0,6.1
Mainland China,2017-01-01,4353505.0,7.7
Mainland China,2017-02-01,3138728.0,-6.8
Mainland China,2017-03-01,3330769.0,10.4
Mainland China,2017-04-01,3521932.0,1.8
Mainland China,2017-05-01,3450028.0,3.8
Mainland China,2017-06-01,3097716.0,-3.4
Mainland China,2017-07-01,4077183.0,3.7
Mainland China,2017-08-01,3955989.0,-2.0
Mainland China,2017-09-01,3572769.0,7.2
Mainland China,2017-10-01,4033473.0,8.3
Mainland China,2017-11-01,3680755.0,8.6
Mainland China,2017-12-01,4232412.0,7.2
Mainland China,2018-01-01,4113241.0,-5.5
Mainland China,2018-02-01,4399696.0,40.2
Mainland China,2018-03-01,3668375.0,10.1
Mainland China,2018-04-01,4056097.0,15.2
Mainland China,2018-05-01,3817370.0,10.6
Mainland China,2018-06-01,3634089.0,17.3
Mainland China,2018-07-01,4402955.0,8.0
Mainland China,2018-08-01,4825547.0,22.0
Mainland China,2018-09-01,3713464.0,3.9
Mainland China,2018-10-01,4654391.0,15.4
Mainland China,2018-11-01,4631378.0,25.8
Mainland China,2018-12-01,5121627.0,21.0
Mainland China,2019-01-01,5542896.0,34.8
Mainland China,2019-02-01,4560963.0,3.7
Mainland China,2019-03-01,4478389.0,22.1
Mainland China,2019-04-01,4272755.0,5.3
Mainland China,2019-05-01,4717520.0,23.6
Mainland China,2019-06-01,4000994.0,10.1
Mainland China,2019-07-01,4160688.0,-5.5
Mainland China,2019-08-01,2782897.0,-42.3
Mainland China,2019-09-01,2412459.0,-35.0
Mainland China,2019-10-01,2519243.0,-45.9
North Asia,2016-10-01,197635.0,5.2
North Asia,2016-11-01,235342.0,14.1
North Asia,2016-12-01,244041.0,10.9
North Asia,2017-01-01,232426.0,-2.5
North Asia,2017-02-01,252816.0,27.0
North Asia,2017-03-01,252483.0,26.9
North Asia,2017-04-01,189824.0,4.6
North Asia,2017-05-01,213033.0,12.5
North Asia,2017-06-01,197742.0,10.2
North Asia,2017-07-01,196487.0,3.6
North Asia,2017-08-01,242059.0,11.7
North Asia,2017-09-01,220311.0,2.6
North Asia,2017-10-01,231859.0,17.3
North Asia,2017-11-01,247170.0,5.0
North Asia,2017-12-01,241470.0,-1.1
North Asia,2018-01-01,273923.0,17.9
North Asia,2018-02-01,198832.0,-21.4
North Asia,2018-03-01,271970.0,7.7
North Asia,2018-04-01,196696.0,3.6
North Asia,2018-05-01,217232.0,2.0
North Asia,2018-06-01,190002.0,-3.9
North Asia,2018-07-01,186215.0,-5.2
North Asia,2018-08-01,232153.0,-4.1
North Asia,2018-09-01,206601.0,-6.2
North Asia,2018-10-01,215092.0,-7.2
North Asia,2018-11-01,257473.0,4.2
North Asia,2018-12-01,262995.0,8.9
North Asia,2019-01-01,273680.0,-0.1
North Asia,2019-02-01,235990.0,18.7
North Asia,2019-03-01,290811.0,6.9
North Asia,2019-04-01,203110.0,3.3
North Asia,2019-05-01,221521.0,2.0
North Asia,2019-06-01,186493.0,-1.8
North Asia,2019-07-01,168118.0,-9.7
North Asia,2019-08-01,161286.0,-30.5
North Asia,2019-09-01,105308.0,-49.0
North Asia,2019-10-01,102770.0,-52.2
South & Southeast Asia,2016-10-01,307059.0,1.5
South & Southeast Asia,2016-11-01,343238.0,-1.8
South & Southeast Asia,2016-12-01,437407.0,0.7
South & Southeast Asia,2017-01-01,265508.0,-12.0
South & Southeast Asia,2017-02-01,236713.0,17.0
South & Southeast Asia,2017-03-01,332297.0,2.4
South & Southeast Asia,2017-04-01,329358.0,-0.1
South & Southeast Asia,2017-05-01,325114.0,-5.3
South & Southeast Asia,2017-06-01,335055.0,4.9
South & Southeast Asia,2017-07-01,264025.0,-10.9
South & Southeast Asia,2017-08-01,229376.0,1.5
South & Southeast Asia,2017-09-01,258269.0,-4.6
South & Southeast Asia,2017-10-01,298480.0,-2.8
South & Southeast Asia,2017-11-01,343769.0,0.2
South & Southeast Asia,2017-12-01,408194.0,-6.7
South & Southeast Asia,2018-01-01,302942.0,14.1
South & Southeast Asia,2018-02-01,175703.0,-25.8
South & Southeast Asia,2018-03-01,338894.0,2.0
South & Southeast Asia,2018-04-01,313566.0,-4.8
South & Southeast Asia,2018-05-01,319104.0,-1.8
South & Southeast Asia,2018-06-01,337552.0,0.7
South & Southeast Asia,2018-07-01,238541.0,-9.7
South & Southeast Asia,2018-08-01,224262.0,-2.2
South & Southeast Asia,2018-09-01,235453.0,-8.8
South & Southeast Asia,2018-10-01,294008.0,-1.5
South & Southeast Asia,2018-11-01,361980.0,5.3
South & Southeast Asia,2018-12-01,429666.0,5.3
