date,total arrivals,year on year (yoy) growths (%)
2016-10-01,4953705.0,-2.4
2016-11-01,4646938.0,-2.1
2016-12-01,5336027.0,5.4
2017-01-01,5475176.0,4.8
2017-02-01,4181417.0,-2.7
2017-03-01,4586186.0,8.8
2017-04-01,4775834.0,1.9
2017-05-01,4587014.0,3.0
2017-06-01,4203256.0,-1.9
2017-07-01,5167700.0,2.4
2017-08-01,5023433.0,-1.2
2017-09-01,4635161.0,4.8
2017-10-01,5278677.0,6.6
2017-11-01,4971119.0,7.0
2017-12-01,5587184.0,4.7
2018-01-01,5333562.0,-2.6
2018-02-01,5280971.0,26.3
2018-03-01,4995122.0,8.9
2018-04-01,5301602.0,11.0
2018-05-01,4953003.0,8.0
2018-06-01,4741779.0,12.8
2018-07-01,5461222.0,5.7
2018-08-01,5895951.0,17.4
2018-09-01,4718536.0,1.8
2018-10-01,5884512.0,11.5
2018-11-01,5995027.0,20.6
2018-12-01,6586268.0,17.9
2019-01-01,6784406.0,27.2
2019-02-01,5589628.0,5.8
2019-03-01,5860346.0,17.3
2019-04-01,5577201.0,5.2
2019-05-01,5916541.0,19.5
2019-06-01,5143734.0,8.5
2019-07-01,5196969.0,-4.8
2019-08-01,3590571.0,-39.1
2019-09-01,3104049.0,-34.2
2019-10-01,3311571.0,-43.7
